"Id","Holiday Name","Day","Type","Comments","Holiday Date","State","Country"
713,New Year's Day,Sunday,Regional Holiday,Most states,2023-01-01,Perak,Malaysia
714,New Year's Day (in lieu),Monday,Regional Holiday,Most states,2023-01-02,Perak,Malaysia
715,Chinese New Year,Sunday,National Holiday,"1st day of 1st lunar month",2023-01-22,Perak,Malaysia
716,Chinese New Year Holiday,Monday,National Holiday,"",2023-01-23,Perak,Malaysia
717,Chinese New Year Holiday,Tuesday,Regional Holiday," Except JHR, KDH, KTN, TRG",2023-01-24,Perak,Malaysia
718,Thaipusam,Sunday,Regional Holiday,Several states,2023-02-05,Perak,Malaysia
719,Thaipusam (in lieu),Monday,Regional Holiday,Several states,2023-02-06,Perak,Malaysia
720,Nuzul Al-Quran Day,Saturday,Regional Holiday,"All regions except Johor, Kedah, Malacca, Sabah, Sarawak",2023-04-08,Perak,Malaysia
721,Hari Raya Aidilfitri Holiday,Friday,National Holiday,Public holiday for Eid Al-Fitr,2023-04-21,Perak,Malaysia
722,Hari Raya Aidilfitri,Saturday,National Holiday,End of Ramadan,2023-04-22,Perak,Malaysia
723,Hari Raya Aidilfitri Holiday,Sunday,National Holiday,Second day of holiday for Eid Al-Fitr,2023-04-23,Perak,Malaysia
724,Hari Raya Aidilfitri Holiday,Monday,Regional Holiday,"Except KDH,KTN,TRG",2023-04-24,Perak,Malaysia
725,Labour Day,Monday,National Holiday,International Workers' Day,2023-05-01,Perak,Malaysia
726,Wesak Day,Thursday,National Holiday,Birth of Buddha,2023-05-04,Perak,Malaysia
727,Mother's Day,Sunday,Not A Public Holiday,"2nd Sunday in May. Not a public holiday",2023-05-14,Perak,Malaysia
728,Birthday of SPB Yang di Pertuan Agong,Monday,National Holiday,"1st Monday in June",2023-06-05,Perak,Malaysia
729,Father's Day,Sunday,Not A Public Holiday,"3rd Sunday in June. Not a public holiday",2023-06-18,Perak,Malaysia
730,Hari Raya Haji,Thursday,National Holiday,Festival of Sacrifice,2023-06-29,Perak,Malaysia
731,Awal Muharram,Wednesday,National Holiday,Hijri New Year,2023-07-19,Perak,Malaysia
732,National Day,Thursday,National Holiday,Independence Day,2023-08-31,Perak,Malaysia
733,Malaysia Day,Saturday,National Holiday,Became a Federal Holiday in 2010,2023-09-16,Perak,Malaysia
734,Maulidur Rasul,Thursday,National Holiday,Birthday of Prophet Muhammad,2023-09-28,Perak,Malaysia
735,Birthday of the Sultan of Perak,Friday,Regional Holiday,Perak,2023-11-03,Perak,Malaysia
736,Deepavali,Sunday,Regional Holiday,The festival of lights. Except Sarawak,2023-11-12,Perak,Malaysia
737,Deepavali Holiday,Monday,Regional Holiday,"Except JHR, KHD, KTN, SRW, TRG",2023-11-13,Perak,Malaysia
738,Christmas Day,Monday,National Holiday,"",2023-12-25,Perak,Malaysia
739,New Year's Day,Sunday,Regional Holiday,Most states,2023-01-01,Sabah,Malaysia
740,New Year's Day (in lieu),Monday,Regional Holiday,Most states,2023-01-02,Sabah,Malaysia
741,Chinese New Year,Sunday,National Holiday,"1st day of 1st lunar month",2023-01-22,Sabah,Malaysia
742,Chinese New Year Holiday,Monday,National Holiday,"",2023-01-23,Sabah,Malaysia
743,Chinese New Year Holiday,Tuesday,Regional Holiday," Except JHR, KDH, KTN, TRG",2023-01-24,Sabah,Malaysia
744,Good Friday,Friday,Regional Holiday,Sabah and Sarawak,2023-04-07,Sabah,Malaysia
745,Hari Raya Aidilfitri Holiday,Friday,National Holiday,Public holiday for Eid Al-Fitr,2023-04-21,Sabah,Malaysia
746,Hari Raya Aidilfitri,Saturday,National Holiday,End of Ramadan,2023-04-22,Sabah,Malaysia
747,Hari Raya Aidilfitri Holiday,Sunday,National Holiday,Second day of holiday for Eid Al-Fitr,2023-04-23,Sabah,Malaysia
748,Hari Raya Aidilfitri Holiday,Monday,Regional Holiday,"Except KDH,KTN,TRG",2023-04-24,Sabah,Malaysia
749,Labour Day,Monday,National Holiday,International Workers' Day,2023-05-01,Sabah,Malaysia
750,Wesak Day,Thursday,National Holiday,Birth of Buddha,2023-05-04,Sabah,Malaysia
751,Mother's Day,Sunday,Not A Public Holiday,"2nd Sunday in May. Not a public holiday",2023-05-14,Sabah,Malaysia
752,Pesta Kaamatan,Tuesday,Regional Holiday,Sabah and Labuan only,2023-05-30,Sabah,Malaysia
753,Pesta Kaamatan,Wednesday,Regional Holiday,Sabah and Labuan only,2023-05-31,Sabah,Malaysia
754,Birthday of SPB Yang di Pertuan Agong,Monday,National Holiday,"1st Monday in June",2023-06-05,Sabah,Malaysia
755,Father's Day,Sunday,Not A Public Holiday,"3rd Sunday in June. Not a public holiday",2023-06-18,Sabah,Malaysia
756,Hari Raya Haji,Thursday,National Holiday,Festival of Sacrifice,2023-06-29,Sabah,Malaysia
757,Awal Muharram,Wednesday,National Holiday,Hijri New Year,2023-07-19,Sabah,Malaysia
758,National Day,Thursday,National Holiday,Independence Day,2023-08-31,Sabah,Malaysia
759,Malaysia Day,Saturday,National Holiday,Became a Federal Holiday in 2010,2023-09-16,Sabah,Malaysia
760,Maulidur Rasul,Thursday,National Holiday,Birthday of Prophet Muhammad,2023-09-28,Sabah,Malaysia
761,Birthday of the Governor of Sabah,Saturday,Regional Holiday,Sabah only. 1st Saturday in October,2023-10-07,Sabah,Malaysia
762,Deepavali,Sunday,Regional Holiday,The festival of lights. Except Sarawak,2023-11-12,Sabah,Malaysia
763,Deepavali Holiday,Monday,Regional Holiday,"Except JHR, KHD, KTN, SRW, TRG",2023-11-13,Sabah,Malaysia
764,Christmas Eve,Sunday,Regional Holiday,Sabah,2023-12-24,Sabah,Malaysia
765,Christmas Day,Monday,National Holiday,"",2023-12-25,Sabah,Malaysia
766,New Year's Day,Sunday,Regional Holiday,Most states,2023-01-01,Selangor,Malaysia
767,New Year's Day (in lieu),Monday,Regional Holiday,Most states,2023-01-02,Selangor,Malaysia
768,Chinese New Year,Sunday,National Holiday,"1st day of 1st lunar month",2023-01-22,Selangor,Malaysia
769,Chinese New Year Holiday,Monday,National Holiday,"",2023-01-23,Selangor,Malaysia
770,Chinese New Year Holiday,Tuesday,Regional Holiday," Except JHR, KDH, KTN, TRG",2023-01-24,Selangor,Malaysia
771,Thaipusam,Sunday,Regional Holiday,Several states,2023-02-05,Selangor,Malaysia
772,Thaipusam (in lieu),Monday,Regional Holiday,Several states,2023-02-06,Selangor,Malaysia
773,Nuzul Al-Quran Day,Saturday,Regional Holiday,"All regions except Johor, Kedah, Malacca, Sabah, Sarawak",2023-04-08,Selangor,Malaysia
774,Hari Raya Aidilfitri Holiday,Friday,National Holiday,Public holiday for Eid Al-Fitr,2023-04-21,Selangor,Malaysia
775,Hari Raya Aidilfitri,Saturday,National Holiday,End of Ramadan,2023-04-22,Selangor,Malaysia
776,Hari Raya Aidilfitri Holiday,Sunday,National Holiday,Second day of holiday for Eid Al-Fitr,2023-04-23,Selangor,Malaysia
777,Hari Raya Aidilfitri Holiday,Monday,Regional Holiday,"Except KDH,KTN,TRG",2023-04-24,Selangor,Malaysia
778,Labour Day,Monday,National Holiday,International Workers' Day,2023-05-01,Selangor,Malaysia
779,Wesak Day,Thursday,National Holiday,Birth of Buddha,2023-05-04,Selangor,Malaysia
780,Mother's Day,Sunday,Not A Public Holiday,"2nd Sunday in May. Not a public holiday",2023-05-14,Selangor,Malaysia
781,Birthday of SPB Yang di Pertuan Agong,Monday,National Holiday,"1st Monday in June",2023-06-05,Selangor,Malaysia
782,Father's Day,Sunday,Not A Public Holiday,"3rd Sunday in June. Not a public holiday",2023-06-18,Selangor,Malaysia
783,Hari Raya Haji,Thursday,National Holiday,Festival of Sacrifice,2023-06-29,Selangor,Malaysia
784,Hari Raya Haji Holiday,Friday,Government Holiday,Selangor. Civil servants,2023-06-30,Selangor,Malaysia
785,Awal Muharram,Wednesday,National Holiday,Hijri New Year,2023-07-19,Selangor,Malaysia
786, Public Holiday,Monday,Regional Holiday,Selangor,2023-08-14,Selangor,Malaysia
787,National Day,Thursday,National Holiday,Independence Day,2023-08-31,Selangor,Malaysia
788,Malaysia Day,Saturday,National Holiday,Became a Federal Holiday in 2010,2023-09-16,Selangor,Malaysia
789,Maulidur Rasul,Thursday,National Holiday,Birthday of Prophet Muhammad,2023-09-28,Selangor,Malaysia
790,Deepavali,Sunday,Regional Holiday,The festival of lights. Except Sarawak,2023-11-12,Selangor,Malaysia
791,Deepavali Holiday,Monday,Regional Holiday,"Except JHR, KHD, KTN, SRW, TRG",2023-11-13,Selangor,Malaysia
792,Birthday of The Sultan of Selangor,Monday,Regional Holiday,Selangor,2023-12-11,Selangor,Malaysia
793,Christmas Day,Monday,National Holiday,"",2023-12-25,Selangor,Malaysia
794,New Year's Day,Sunday,Regional Holiday,Most states,2023-01-01,Sarawak,Malaysia
795,New Year's Day (in lieu),Monday,Regional Holiday,Most states,2023-01-02,Sarawak,Malaysia
796,Chinese New Year,Sunday,National Holiday,"1st day of 1st lunar month",2023-01-22,Sarawak,Malaysia
797,Chinese New Year Holiday,Monday,National Holiday,"",2023-01-23,Sarawak,Malaysia
798,Chinese New Year Holiday,Tuesday,Regional Holiday," Except JHR, KDH, KTN, TRG",2023-01-24,Sarawak,Malaysia
799,Good Friday,Friday,Regional Holiday,Sabah and Sarawak,2023-04-07,Sarawak,Malaysia
800,Hari Raya Aidilfitri Holiday,Friday,National Holiday,Public holiday for Eid Al-Fitr,2023-04-21,Sarawak,Malaysia
801,Hari Raya Aidilfitri,Saturday,National Holiday,End of Ramadan,2023-04-22,Sarawak,Malaysia
802,Hari Raya Aidilfitri Holiday,Sunday,National Holiday,Second day of holiday for Eid Al-Fitr,2023-04-23,Sarawak,Malaysia
803,Hari Raya Aidilfitri Holiday,Monday,Regional Holiday,"Except KDH,KTN,TRG",2023-04-24,Sarawak,Malaysia
804,Labour Day,Monday,National Holiday,International Workers' Day,2023-05-01,Sarawak,Malaysia
805,Wesak Day,Thursday,National Holiday,Birth of Buddha,2023-05-04,Sarawak,Malaysia
806,Mother's Day,Sunday,Not A Public Holiday,"2nd Sunday in May. Not a public holiday",2023-05-14,Sarawak,Malaysia
807,Gawai Dayak,Thursday,Regional Holiday,Sarawak,2023-06-01,Sarawak,Malaysia
808,Gawai Dayak,Friday,Regional Holiday,Sarawak,2023-06-02,Sarawak,Malaysia
809,Birthday of SPB Yang di Pertuan Agong,Monday,National Holiday,"1st Monday in June",2023-06-05,Sarawak,Malaysia
810,Father's Day,Sunday,Not A Public Holiday,"3rd Sunday in June. Not a public holiday",2023-06-18,Sarawak,Malaysia
811,Hari Raya Haji,Thursday,National Holiday,Festival of Sacrifice,2023-06-29,Sarawak,Malaysia
812,Awal Muharram,Wednesday,National Holiday,Hijri New Year,2023-07-19,Sarawak,Malaysia
813,Sarawak Day,Saturday,Regional Holiday,"",2023-07-22,Sarawak,Malaysia
814,National Day,Thursday,National Holiday,Independence Day,2023-08-31,Sarawak,Malaysia
815,Malaysia Day,Saturday,National Holiday,Became a Federal Holiday in 2010,2023-09-16,Sarawak,Malaysia
816,Maulidur Rasul,Thursday,National Holiday,Birthday of Prophet Muhammad,2023-09-28,Sarawak,Malaysia
817,Birthday of the Governor of Sarawak,Saturday,Regional Holiday,Sarawak only,2023-10-14,Sarawak,Malaysia
818,Christmas Day,Monday,National Holiday,"",2023-12-25,Sarawak,Malaysia
819,Chinese New Year,Sunday,National Holiday,"1st day of 1st lunar month",2023-01-22,Terengganu,Malaysia
820,Chinese New Year Holiday,Monday,National Holiday,"",2023-01-23,Terengganu,Malaysia
821,Isra and Miraj,Saturday,Regional Holiday,"Kedah, Perlis and Negeri Sembilan",2023-02-18,Terengganu,Malaysia
822,Anniversary of Installation of the Sultan,Saturday,Regional Holiday,Terengganu,2023-03-04,Terengganu,Malaysia
823,Nuzul Al-Quran Day,Saturday,Regional Holiday,"All regions except Johor, Kedah, Malacca, Sabah, Sarawak",2023-04-08,Terengganu,Malaysia
824,Hari Raya Aidilfitri Holiday,Friday,National Holiday,Public holiday for Eid Al-Fitr,2023-04-21,Terengganu,Malaysia
825,Hari Raya Aidilfitri,Saturday,National Holiday,End of Ramadan,2023-04-22,Terengganu,Malaysia
826,Hari Raya Aidilfitri Holiday,Sunday,National Holiday,Second day of holiday for Eid Al-Fitr,2023-04-23,Terengganu,Malaysia
827,Birthday of the Sultan of Terengganu,Wednesday,Regional Holiday,Terengganu only. Always celebrated on 26 April,2023-04-26,Terengganu,Malaysia
828,Labour Day,Monday,National Holiday,International Workers' Day,2023-05-01,Terengganu,Malaysia
829,Wesak Day,Thursday,National Holiday,Birth of Buddha,2023-05-04,Terengganu,Malaysia
830,Mother's Day,Sunday,Not A Public Holiday,"2nd Sunday in May. Not a public holiday",2023-05-14,Terengganu,Malaysia
831,Birthday of SPB Yang di Pertuan Agong,Monday,National Holiday,"1st Monday in June",2023-06-05,Terengganu,Malaysia
832,Father's Day,Sunday,Not A Public Holiday,"3rd Sunday in June. Not a public holiday",2023-06-18,Terengganu,Malaysia
833,Arafat (Haj) Day,Wednesday,Regional Holiday,"Kelantan, Terengganu",2023-06-28,Terengganu,Malaysia
834,Hari Raya Haji,Thursday,National Holiday,Festival of Sacrifice,2023-06-29,Terengganu,Malaysia
835,Hari Raya Haji Holiday,Friday,Regional Holiday,Some states,2023-06-30,Terengganu,Malaysia
836,Awal Muharram,Wednesday,National Holiday,Hijri New Year,2023-07-19,Terengganu,Malaysia
837,Public Holiday,Sunday,Regional Holiday,Terengganu,2023-08-13,Terengganu,Malaysia
838,National Day,Thursday,National Holiday,Independence Day,2023-08-31,Terengganu,Malaysia
839,Malaysia Day,Saturday,National Holiday,Became a Federal Holiday in 2010,2023-09-16,Terengganu,Malaysia
840,Maulidur Rasul,Thursday,National Holiday,Birthday of Prophet Muhammad,2023-09-28,Terengganu,Malaysia
841,Deepavali,Sunday,Regional Holiday,The festival of lights. Except Sarawak,2023-11-12,Terengganu,Malaysia
842,Christmas Day,Monday,National Holiday,"",2023-12-25,Terengganu,Malaysia
843,Thaipusam,Thursday,Regional Holiday,Several states,2024-01-25,Johor,Malaysia
844,Chinese New Year,Saturday,National Holiday,"1st day of 1st lunar month",2024-02-10,Johor,Malaysia
845,Chinese New Year Holiday,Sunday,National Holiday,"2nd day of 1st lunar month",2024-02-11,Johor,Malaysia
846,Beginning of Ramadan,Tuesday,Regional Holiday,"Johor, Kedah, Malacca",2024-03-12,Johor,Malaysia
847,Birthday of the Sultan of Johor,Saturday,Regional Holiday,Johor only,2024-03-23,Johor,Malaysia
848,Hari Raya Aidilfitri,Wednesday,National Holiday,End of Ramadan,2024-04-10,Johor,Malaysia
849,Hari Raya Aidilfitri,Thursday,National Holiday,Second day of holiday for Eid Al-Fitr,2024-04-11,Johor,Malaysia
850,Labour Day,Wednesday,National Holiday,International Workers' Day,2024-05-01,Johor,Malaysia
851,Mother's Day,Sunday,Not A Public Holiday,"2nd Sunday in May. Not a public holiday",2024-05-12,Johor,Malaysia
852,Wesak Day,Wednesday,National Holiday,Birth of Buddha,2024-05-22,Johor,Malaysia
853,Birthday of SPB Yang di Pertuan Agong,Monday,National Holiday,"1st Monday in June",2024-06-03,Johor,Malaysia
854,Father's Day,Sunday,Not A Public Holiday,"3rd Sunday in June. Not a public holiday",2024-06-16,Johor,Malaysia
855,Hari Raya Haji,Monday,National Holiday,Festival of Sacrifice,2024-06-17,Johor,Malaysia
856,Awal Muharram,Sunday,National Holiday,Hijri New Year,2024-07-07,Johor,Malaysia
857,The Sultan of Johor Hol,Sunday,Regional Holiday,Johor only,2024-08-11,Johor,Malaysia
858,Public Holiday,Sunday,Regional Holiday,Johor,2024-08-25,Johor,Malaysia
859,National Day,Saturday,National Holiday,Independence Day,2024-08-31,Johor,Malaysia
860,Maulidur Rasul,Monday,National Holiday,Birthday of Prophet Muhammad,2024-09-16,Johor,Malaysia
861,Malaysia Day,Monday,National Holiday,Became a Federal Holiday in 2010,2024-09-16,Johor,Malaysia
862,Deepavali,Thursday,Regional Holiday,The festival of lights. Except Sarawak,2024-10-31,Johor,Malaysia
863,Christmas Day,Wednesday,National Holiday,"",2024-12-25,Johor,Malaysia
864,Isra and Miraj,Thursday,Regional Holiday,"Kedah, Perlis and Negeri Sembilan",2024-02-08,Kedah,Malaysia
865,Chinese New Year,Saturday,National Holiday,"1st day of 1st lunar month",2024-02-10,Kedah,Malaysia
866,Chinese New Year Holiday,Sunday,National Holiday,"2nd day of 1st lunar month",2024-02-11,Kedah,Malaysia
867,Beginning of Ramadan,Tuesday,Regional Holiday,"Johor, Kedah, Malacca",2024-03-12,Kedah,Malaysia
868,Hari Raya Aidilfitri,Wednesday,National Holiday,End of Ramadan,2024-04-10,Kedah,Malaysia
869,Hari Raya Aidilfitri,Thursday,National Holiday,Second day of holiday for Eid Al-Fitr,2024-04-11,Kedah,Malaysia
870,Labour Day,Wednesday,National Holiday,International Workers' Day,2024-05-01,Kedah,Malaysia
871,Mother's Day,Sunday,Not A Public Holiday,"2nd Sunday in May. Not a public holiday",2024-05-12,Kedah,Malaysia
872,Wesak Day,Wednesday,National Holiday,Birth of Buddha,2024-05-22,Kedah,Malaysia
873,Birthday of SPB Yang di Pertuan Agong,Monday,National Holiday,"1st Monday in June",2024-06-03,Kedah,Malaysia
874,Father's Day,Sunday,Not A Public Holiday,"3rd Sunday in June. Not a public holiday",2024-06-16,Kedah,Malaysia
875,Hari Raya Haji,Monday,National Holiday,Festival of Sacrifice,2024-06-17,Kedah,Malaysia
876,Hari Raya Haji Holiday,Tuesday,Regional Holiday,Some states,2024-06-18,Kedah,Malaysia
877,Birthday of the Sultan of Kedah,Sunday,Regional Holiday,Kedah only,2024-06-30,Kedah,Malaysia
878,Awal Muharram,Sunday,National Holiday,Hijri New Year,2024-07-07,Kedah,Malaysia
879,National Day,Saturday,National Holiday,Independence Day,2024-08-31,Kedah,Malaysia
880,Maulidur Rasul,Monday,National Holiday,Birthday of Prophet Muhammad,2024-09-16,Kedah,Malaysia
881,Malaysia Day,Monday,National Holiday,Became a Federal Holiday in 2010,2024-09-16,Kedah,Malaysia
882,Deepavali,Thursday,Regional Holiday,The festival of lights. Except Sarawak,2024-10-31,Kedah,Malaysia
883,Christmas Day,Wednesday,National Holiday,"",2024-12-25,Kedah,Malaysia
884,Chinese New Year,Saturday,National Holiday,"1st day of 1st lunar month",2024-02-10,Kelantan,Malaysia
885,Chinese New Year Holiday,Sunday,National Holiday,"2nd day of 1st lunar month",2024-02-11,Kelantan,Malaysia
886,Chinese New Year Holiday,Monday,Regional Holiday,"Except Johor, Kedah",2024-02-12,Kelantan,Malaysia
887,Nuzul Al-Quran Day,Thursday,Regional Holiday,"All regions except Johor, Kedah, Malacca, Sabah, Sarawak",2024-03-28,Kelantan,Malaysia
888,Hari Raya Aidilfitri,Tuesday,Regional Holiday,Kelantan,2024-04-09,Kelantan,Malaysia
889,Hari Raya Aidilfitri,Wednesday,National Holiday,End of Ramadan,2024-04-10,Kelantan,Malaysia
890,Hari Raya Aidilfitri,Thursday,National Holiday,Second day of holiday for Eid Al-Fitr,2024-04-11,Kelantan,Malaysia
891,Labour Day,Wednesday,National Holiday,International Workers' Day,2024-05-01,Kelantan,Malaysia
892,Mother's Day,Sunday,Not A Public Holiday,"2nd Sunday in May. Not a public holiday",2024-05-12,Kelantan,Malaysia
893,Wesak Day,Wednesday,National Holiday,Birth of Buddha,2024-05-22,Kelantan,Malaysia
894,Birthday of SPB Yang di Pertuan Agong,Monday,National Holiday,"1st Monday in June",2024-06-03,Kelantan,Malaysia
895,Father's Day,Sunday,Not A Public Holiday,"3rd Sunday in June. Not a public holiday",2024-06-16,Kelantan,Malaysia
896,Arafat (Haj) Day,Sunday,Regional Holiday,"",2024-06-16,Kelantan,Malaysia
897,Hari Raya Haji,Monday,National Holiday,Festival of Sacrifice,2024-06-17,Kelantan,Malaysia
898,Hari Raya Haji Holiday,Tuesday,Regional Holiday,Some states,2024-06-18,Kelantan,Malaysia
899,Awal Muharram,Sunday,National Holiday,Hijri New Year,2024-07-07,Kelantan,Malaysia
900,National Day,Saturday,National Holiday,Independence Day,2024-08-31,Kelantan,Malaysia
901,Malaysia Day,Monday,National Holiday,Became a Federal Holiday in 2010,2024-09-16,Kelantan,Malaysia
902,Maulidur Rasul,Monday,National Holiday,Birthday of Prophet Muhammad,2024-09-16,Kelantan,Malaysia
903,Birthday of the Sultan of Kelantan,Sunday,Regional Holiday,Kelantan only,2024-09-29,Kelantan,Malaysia
904,Birthday of the Sultan of Kelantan Holiday,Monday,Regional Holiday,Kelantan only. Second day,2024-09-30,Kelantan,Malaysia
905,Deepavali,Thursday,Regional Holiday,The festival of lights. Except Sarawak,2024-10-31,Kelantan,Malaysia
906,Christmas Day,Wednesday,National Holiday,"",2024-12-25,Kelantan,Malaysia
907,New Year's Day,Monday,Regional Holiday,Most states,2024-01-01,Kuala Lumpur,Malaysia
908,Thaipusam,Thursday,Regional Holiday,Several states,2024-01-25,Kuala Lumpur,Malaysia
909,Federal Territory Day,Thursday,Regional Holiday,"Kuala Lumpur, Labuan, Putrajaya",2024-02-01,Kuala Lumpur,Malaysia
